"j0 = 1.0, jpm = 0.5","j0 = 1.5, jpm = 0.5","j0 = 2.0, jpm = 1.0","j0 = 2.5, jpm = 1.0","j0 = 3.0, jpm = 1.0","j0 = 3.5, jpm = 1.5","j0 = 4.0, jpm = 1.5","j0 = 4.5, jpm = 2.0","j0 = 5.0, jpm = 2.0"
0.527423881,0.160523017,0.601666403,0.326795748,0.159335763,0.617201481,0.348916984,0.740166374,0.590336517
0.769778164,0.413674422,1.03189386,0.658884375,0.593413361,1.63101047,0.964261178,2.029968949,1.546894516
1.95296314,1.457567579,3.208412022,2.038560657,1.96392831,6.934373384,3.841596025,11.270633393,8.010624857
4.866295617,3.743673178,9.704944503,7.047456503,7.627390096,28.009856783,20.321961829,56.997738816,55.825443742
9.476506928,7.29269833,25.946125564,22.339779578,21.324572207,106.834371711,85.063548181,260.746495205,292.239930379
16.29687947,14.56481238,60.509623219,61.523525494,59.980054155,317.493251563,279.004345131,847.952128628,1031.727405345
26.095585573,25.708519891,124.612260117,139.217270004,133.266744893,776.957003406,722.903058669,2187.751534743,2779.244909194
42.384654692,40.439412755,246.499766388,281.366104612,278.558334295,1658.265532268,1590.687106139,4763.946973933,6367.774575376
68.833110539,65.862972981,444.717246277,513.315186343,527.062320649,3131.868098265,3131.006827792,9351.080986863,12785.227800164
104.162333197,103.978657646,753.395998223,880.419625941,927.418471349,5469.970555685,5633.02572676,16770.591688396,23605.182139888
158.680999556,163.030819946,1217.379812252,1434.488878636,1522.749224054,8995.437454602,9517.189197381,27908.574876334,40245.47366113
