"j0 = 1.0, jpm = 0.5","j0 = 1.5, jpm = 1.0","j0 = 2.0, jpm = 1.5","j0 = 2.5, jpm = 1.0","j0 = 3.0, jpm = 1.5","j0 = 3.5, jpm = 2.0","j0 = 4.0, jpm = 1.5","j0 = 4.5, jpm = 2.0","j0 = 5.0, jpm = 2.5"
0.05038662316,0.067517609,0.116359065,0.041786836,0.063721545,0.133357683,0.075643798,0.093051033,0.184849035
0.348511458,0.432975413,0.428666632,0.250914448,0.304765813,0.97430691,0.41764653,0.50538271,1.106466622
0.777723366,1.48843627,1.451626375,0.732556996,0.9322914114,3.366533443,1.230699479,1.688382936,3.83409095
1.87539315,3.57816362,4.721826191,2.00841132,2.490284442,7.200030522,3.385354466,5.663295367,11.987329848
3.780493078,5.885128126,8.088131384,4.281767336,5.835501863,17.846059676,9.099863061,18.051173943,37.472603178
5.31746822,10.718124767,14.510143114,9.167832167,13.485696003,35.335705216,24.298334356,47.340058681,94.991187363
